id,label
TEST_000,석고수정
TEST_001,석고수정
TEST_002,틈새과다
TEST_003,몰딩수정
TEST_004,석고수정
TEST_005,석고수정
TEST_006,곰팡이
TEST_007,석고수정
TEST_008,석고수정
TEST_009,꼬임
TEST_010,몰딩수정
TEST_011,꼬임
TEST_012,피스
TEST_013,석고수정
TEST_014,석고수정
TEST_015,곰팡이
TEST_016,석고수정
TEST_017,곰팡이
TEST_018,석고수정
TEST_019,곰팡이
TEST_020,석고수정
TEST_021,석고수정
TEST_022,석고수정
TEST_023,면불량
TEST_024,몰딩수정
TEST_025,석고수정
TEST_026,면불량
TEST_027,석고수정
TEST_028,석고수정
TEST_029,석고수정
TEST_030,곰팡이
TEST_031,석고수정
TEST_032,석고수정
TEST_033,곰팡이
TEST_034,틈새과다
TEST_035,석고수정
TEST_036,석고수정
TEST_037,석고수정
TEST_038,꼬임
TEST_039,석고수정
TEST_040,곰팡이
TEST_041,석고수정
TEST_042,석고수정
TEST_043,걸레받이수정
TEST_044,석고수정
TEST_045,면불량
TEST_046,곰팡이
TEST_047,훼손
TEST_048,곰팡이
TEST_049,곰팡이
TEST_050,곰팡이
TEST_051,석고수정
TEST_052,석고수정
TEST_053,곰팡이
TEST_054,석고수정
TEST_055,석고수정
TEST_056,석고수정
TEST_057,곰팡이
TEST_058,곰팡이
TEST_059,석고수정
TEST_060,꼬임
TEST_061,몰딩수정
TEST_062,석고수정
TEST_063,곰팡이
TEST_064,석고수정
TEST_065,석고수정
TEST_066,석고수정
TEST_067,곰팡이
TEST_068,석고수정
TEST_069,석고수정
TEST_070,곰팡이
TEST_071,석고수정
TEST_072,석고수정
TEST_073,곰팡이
TEST_074,석고수정
TEST_075,면불량
TEST_076,석고수정
TEST_077,석고수정
TEST_078,석고수정
TEST_079,면불량
TEST_080,반점
TEST_081,몰딩수정
TEST_082,곰팡이
TEST_083,석고수정
TEST_084,피스
TEST_085,면불량
TEST_086,훼손
TEST_087,석고수정
TEST_088,곰팡이
TEST_089,피스
TEST_090,석고수정
TEST_091,석고수정
TEST_092,석고수정
TEST_093,곰팡이
TEST_094,석고수정
TEST_095,석고수정
TEST_096,석고수정
TEST_097,석고수정
TEST_098,석고수정
TEST_099,석고수정
TEST_100,가구수정
TEST_101,석고수정
TEST_102,피스
TEST_103,면불량
TEST_104,곰팡이
TEST_105,곰팡이
TEST_106,터짐
TEST_107,석고수정
TEST_108,석고수정
TEST_109,석고수정
TEST_110,석고수정
TEST_111,석고수정
TEST_112,석고수정
TEST_113,석고수정
TEST_114,석고수정
TEST_115,곰팡이
TEST_116,피스
TEST_117,석고수정
TEST_118,훼손
TEST_119,석고수정
TEST_120,석고수정
TEST_121,석고수정
TEST_122,석고수정
TEST_123,몰딩수정
TEST_124,석고수정
