id,label
TEST_000,오염
TEST_001,오염
TEST_002,오염
TEST_003,훼손
TEST_004,훼손
TEST_005,오염
TEST_006,훼손
TEST_007,몰딩수정
TEST_008,오염
TEST_009,오타공
TEST_010,훼손
TEST_011,곰팡이
TEST_012,훼손
TEST_013,오염
TEST_014,훼손
TEST_015,오염
TEST_016,터짐
TEST_017,오염
TEST_018,들뜸
TEST_019,오염
TEST_020,터짐
TEST_021,오염
TEST_022,오염
TEST_023,훼손
TEST_024,오염
TEST_025,터짐
TEST_026,훼손
TEST_027,오염
TEST_028,훼손
TEST_029,터짐
TEST_030,훼손
TEST_031,오염
TEST_032,훼손
TEST_033,훼손
TEST_034,꼬임
TEST_035,오타공
TEST_036,오타공
TEST_037,훼손
TEST_038,터짐
TEST_039,훼손
TEST_040,훼손
TEST_041,훼손
TEST_042,훼손
TEST_043,몰딩수정
TEST_044,훼손
TEST_045,훼손
TEST_046,훼손
TEST_047,오염
TEST_048,훼손
TEST_049,몰딩수정
TEST_050,훼손
TEST_051,훼손
TEST_052,면불량
TEST_053,오염
TEST_054,훼손
TEST_055,훼손
TEST_056,오염
TEST_057,훼손
TEST_058,훼손
TEST_059,오염
TEST_060,훼손
TEST_061,훼손
TEST_062,터짐
TEST_063,훼손
TEST_064,훼손
TEST_065,터짐
TEST_066,터짐
TEST_067,터짐
TEST_068,훼손
TEST_069,오염
TEST_070,훼손
TEST_071,오염
TEST_072,오염
TEST_073,훼손
TEST_074,오염
TEST_075,석고수정
TEST_076,오염
TEST_077,훼손
TEST_078,훼손
TEST_079,훼손
TEST_080,훼손
TEST_081,훼손
TEST_082,훼손
TEST_083,훼손
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,훼손
TEST_087,오염
TEST_088,훼손
TEST_089,훼손
TEST_090,훼손
TEST_091,훼손
TEST_092,오염
TEST_093,오타공
TEST_094,훼손
TEST_095,꼬임
TEST_096,터짐
TEST_097,터짐
TEST_098,오염
TEST_099,훼손
TEST_100,훼손
TEST_101,터짐
TEST_102,훼손
TEST_103,훼손
TEST_104,오염
TEST_105,훼손
TEST_106,훼손
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,오염
TEST_111,터짐
TEST_112,훼손
TEST_113,오염
TEST_114,훼손
TEST_115,훼손
TEST_116,훼손
TEST_117,훼손
TEST_118,훼손
TEST_119,훼손
TEST_120,훼손
TEST_121,훼손
TEST_122,훼손
TEST_123,오염
TEST_124,훼손
TEST_125,피스
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,훼손
TEST_130,오염
TEST_131,훼손
TEST_132,훼손
TEST_133,훼손
TEST_134,터짐
TEST_135,훼손
TEST_136,훼손
TEST_137,꼬임
TEST_138,훼손
TEST_139,훼손
TEST_140,오염
TEST_141,훼손
TEST_142,훼손
TEST_143,터짐
TEST_144,터짐
TEST_145,훼손
TEST_146,훼손
TEST_147,오염
TEST_148,훼손
TEST_149,훼손
TEST_150,훼손
TEST_151,훼손
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,훼손
TEST_156,훼손
TEST_157,오타공
TEST_158,훼손
TEST_159,오염
TEST_160,훼손
TEST_161,오염
TEST_162,터짐
TEST_163,훼손
TEST_164,훼손
TEST_165,몰딩수정
TEST_166,훼손
TEST_167,오염
TEST_168,걸레받이수정
TEST_169,곰팡이
TEST_170,오염
TEST_171,오염
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,훼손
TEST_176,면불량
TEST_177,훼손
TEST_178,훼손
TEST_179,오염
TEST_180,면불량
TEST_181,훼손
TEST_182,오염
TEST_183,오염
TEST_184,훼손
TEST_185,훼손
TEST_186,훼손
TEST_187,오염
TEST_188,오염
TEST_189,오염
TEST_190,오염
TEST_191,터짐
TEST_192,훼손
TEST_193,오타공
TEST_194,훼손
TEST_195,면불량
TEST_196,오염
TEST_197,훼손
TEST_198,훼손
TEST_199,훼손
TEST_200,훼손
TEST_201,훼손
TEST_202,몰딩수정
TEST_203,오염
TEST_204,훼손
TEST_205,훼손
TEST_206,곰팡이
TEST_207,훼손
TEST_208,훼손
TEST_209,훼손
TEST_210,훼손
TEST_211,오염
TEST_212,훼손
TEST_213,훼손
TEST_214,훼손
TEST_215,훼손
TEST_216,곰팡이
TEST_217,오염
TEST_218,꼬임
TEST_219,터짐
TEST_220,훼손
TEST_221,터짐
TEST_222,꼬임
TEST_223,훼손
TEST_224,훼손
TEST_225,면불량
TEST_226,훼손
TEST_227,훼손
TEST_228,훼손
TEST_229,훼손
TEST_230,훼손
TEST_231,훼손
TEST_232,훼손
TEST_233,훼손
TEST_234,오염
TEST_235,오염
TEST_236,오염
TEST_237,훼손
TEST_238,훼손
TEST_239,오염
TEST_240,꼬임
TEST_241,훼손
TEST_242,훼손
TEST_243,오염
TEST_244,오염
TEST_245,훼손
TEST_246,터짐
TEST_247,오염
TEST_248,오타공
TEST_249,오염
TEST_250,훼손
TEST_251,훼손
TEST_252,오염
TEST_253,훼손
TEST_254,오염
TEST_255,피스
TEST_256,오염
TEST_257,오염
TEST_258,훼손
TEST_259,오염
TEST_260,걸레받이수정
TEST_261,몰딩수정
TEST_262,훼손
TEST_263,걸레받이수정
TEST_264,터짐
TEST_265,훼손
TEST_266,오타공
TEST_267,걸레받이수정
TEST_268,훼손
TEST_269,오염
TEST_270,훼손
TEST_271,훼손
TEST_272,훼손
TEST_273,훼손
TEST_274,훼손
TEST_275,오염
TEST_276,훼손
TEST_277,오염
TEST_278,피스
TEST_279,오염
TEST_280,들뜸
TEST_281,오염
TEST_282,훼손
TEST_283,피스
TEST_284,오염
TEST_285,오염
TEST_286,훼손
TEST_287,훼손
TEST_288,터짐
TEST_289,터짐
TEST_290,몰딩수정
TEST_291,훼손
TEST_292,터짐
TEST_293,훼손
TEST_294,훼손
TEST_295,훼손
TEST_296,훼손
