id,label
TEST_000,석고수정
TEST_001,곰팡이
TEST_002,몰딩수정
TEST_003,석고수정
TEST_004,곰팡이
TEST_005,석고수정
TEST_006,곰팡이
TEST_007,석고수정
TEST_008,석고수정
TEST_009,꼬임
TEST_010,몰딩수정
TEST_011,꼬임
TEST_012,곰팡이
TEST_013,곰팡이
TEST_014,석고수정
TEST_015,면불량
TEST_016,석고수정
TEST_017,석고수정
TEST_018,석고수정
TEST_019,석고수정
TEST_020,틈새과다
TEST_021,석고수정
TEST_022,석고수정
TEST_023,석고수정
TEST_024,터짐
TEST_025,석고수정
TEST_026,면불량
TEST_027,이음부불량
TEST_028,석고수정
TEST_029,석고수정
TEST_030,곰팡이
TEST_031,석고수정
TEST_032,석고수정
TEST_033,곰팡이
TEST_034,틈새과다
TEST_035,석고수정
TEST_036,석고수정
TEST_037,석고수정
TEST_038,꼬임
TEST_039,석고수정
TEST_040,곰팡이
TEST_041,피스
TEST_042,피스
TEST_043,반점
TEST_044,석고수정
TEST_045,석고수정
TEST_046,석고수정
TEST_047,석고수정
TEST_048,곰팡이
TEST_049,곰팡이
TEST_050,곰팡이
TEST_051,석고수정
TEST_052,곰팡이
TEST_053,석고수정
TEST_054,석고수정
TEST_055,석고수정
TEST_056,석고수정
TEST_057,석고수정
TEST_058,석고수정
TEST_059,석고수정
TEST_060,석고수정
TEST_061,몰딩수정
TEST_062,석고수정
TEST_063,곰팡이
TEST_064,석고수정
TEST_065,석고수정
TEST_066,곰팡이
TEST_067,석고수정
TEST_068,곰팡이
TEST_069,면불량
TEST_070,석고수정
TEST_071,석고수정
TEST_072,석고수정
TEST_073,곰팡이
TEST_074,꼬임
TEST_075,면불량
TEST_076,석고수정
TEST_077,석고수정
TEST_078,석고수정
TEST_079,면불량
TEST_080,석고수정
TEST_081,석고수정
TEST_082,석고수정
TEST_083,꼬임
TEST_084,피스
TEST_085,석고수정
TEST_086,석고수정
TEST_087,면불량
TEST_088,이음부불량
TEST_089,곰팡이
TEST_090,곰팡이
TEST_091,석고수정
TEST_092,석고수정
TEST_093,석고수정
TEST_094,석고수정
TEST_095,석고수정
TEST_096,오염
TEST_097,면불량
TEST_098,몰딩수정
TEST_099,곰팡이
TEST_100,울음
TEST_101,석고수정
TEST_102,석고수정
TEST_103,면불량
TEST_104,석고수정
TEST_105,석고수정
TEST_106,터짐
TEST_107,석고수정
TEST_108,석고수정
TEST_109,석고수정
TEST_110,석고수정
TEST_111,석고수정
TEST_112,석고수정
TEST_113,석고수정
TEST_114,곰팡이
TEST_115,곰팡이
TEST_116,석고수정
TEST_117,석고수정
TEST_118,면불량
TEST_119,석고수정
TEST_120,석고수정
TEST_121,석고수정
TEST_122,석고수정
TEST_123,면불량
TEST_124,석고수정
TEST_125,석고수정
TEST_126,석고수정
TEST_127,석고수정
TEST_128,석고수정
TEST_129,면불량
TEST_130,곰팡이
TEST_131,곰팡이
TEST_132,훼손
TEST_133,곰팡이
TEST_134,석고수정
TEST_135,석고수정
TEST_136,석고수정
TEST_137,석고수정
TEST_138,석고수정
TEST_139,석고수정
TEST_140,면불량
TEST_141,석고수정
TEST_142,석고수정
TEST_143,석고수정
TEST_144,석고수정
TEST_145,곰팡이
TEST_146,석고수정
TEST_147,면불량
TEST_148,이음부불량
TEST_149,훼손
TEST_150,석고수정
TEST_151,틈새과다
TEST_152,석고수정
TEST_153,곰팡이
TEST_154,석고수정
TEST_155,석고수정
TEST_156,훼손
TEST_157,틈새과다
TEST_158,면불량
TEST_159,반점
TEST_160,면불량
TEST_161,석고수정
TEST_162,석고수정
TEST_163,석고수정
TEST_164,석고수정
TEST_165,석고수정
TEST_166,곰팡이
TEST_167,곰팡이
TEST_168,석고수정
TEST_169,석고수정
TEST_170,석고수정
TEST_171,석고수정
TEST_172,석고수정
TEST_173,석고수정
TEST_174,곰팡이
TEST_175,훼손
TEST_176,곰팡이
TEST_177,꼬임
TEST_178,석고수정
TEST_179,훼손
TEST_180,석고수정
TEST_181,몰딩수정
TEST_182,곰팡이
TEST_183,석고수정
TEST_184,곰팡이
TEST_185,석고수정
TEST_186,곰팡이
TEST_187,석고수정
TEST_188,면불량
TEST_189,석고수정
TEST_190,석고수정
TEST_191,석고수정
TEST_192,석고수정
TEST_193,석고수정
TEST_194,석고수정
TEST_195,석고수정
TEST_196,석고수정
TEST_197,석고수정
TEST_198,곰팡이
TEST_199,몰딩수정
TEST_200,석고수정
TEST_201,훼손
TEST_202,곰팡이
TEST_203,석고수정
TEST_204,훼손
TEST_205,훼손
TEST_206,면불량
TEST_207,석고수정
TEST_208,곰팡이
TEST_209,석고수정
TEST_210,훼손
TEST_211,석고수정
TEST_212,곰팡이
TEST_213,곰팡이
TEST_214,석고수정
TEST_215,석고수정
TEST_216,석고수정
TEST_217,석고수정
TEST_218,곰팡이
TEST_219,곰팡이
TEST_220,석고수정
TEST_221,훼손
TEST_222,곰팡이
TEST_223,곰팡이
TEST_224,석고수정
TEST_225,석고수정
TEST_226,석고수정
TEST_227,석고수정
TEST_228,석고수정
TEST_229,석고수정
TEST_230,석고수정
TEST_231,석고수정
TEST_232,곰팡이
TEST_233,곰팡이
TEST_234,곰팡이
TEST_235,석고수정
TEST_236,훼손
TEST_237,훼손
TEST_238,곰팡이
TEST_239,석고수정
TEST_240,석고수정
TEST_241,석고수정
TEST_242,면불량
TEST_243,곰팡이
TEST_244,면불량
TEST_245,곰팡이
TEST_246,석고수정
TEST_247,곰팡이
TEST_248,곰팡이
TEST_249,석고수정
TEST_250,터짐
TEST_251,면불량
TEST_252,곰팡이
TEST_253,석고수정
TEST_254,피스
TEST_255,석고수정
TEST_256,가구수정
TEST_257,몰딩수정
TEST_258,석고수정
TEST_259,석고수정
TEST_260,면불량
TEST_261,석고수정
TEST_262,석고수정
TEST_263,가구수정
TEST_264,곰팡이
TEST_265,몰딩수정
TEST_266,몰딩수정
TEST_267,훼손
TEST_268,곰팡이
TEST_269,석고수정
TEST_270,석고수정
TEST_271,면불량
TEST_272,석고수정
TEST_273,곰팡이
TEST_274,석고수정
TEST_275,면불량
TEST_276,훼손
TEST_277,곰팡이
TEST_278,훼손
TEST_279,면불량
TEST_280,석고수정
TEST_281,곰팡이
TEST_282,가구수정
TEST_283,곰팡이
TEST_284,석고수정
TEST_285,면불량
TEST_286,석고수정
TEST_287,석고수정
TEST_288,석고수정
TEST_289,곰팡이
TEST_290,곰팡이
TEST_291,석고수정
TEST_292,석고수정
TEST_293,훼손
TEST_294,석고수정
TEST_295,석고수정
TEST_296,석고수정
TEST_297,꼬임
TEST_298,석고수정
TEST_299,가구수정
TEST_300,곰팡이
TEST_301,석고수정
TEST_302,석고수정
TEST_303,석고수정
TEST_304,훼손
TEST_305,석고수정
TEST_306,꼬임
TEST_307,면불량
TEST_308,석고수정
TEST_309,석고수정
TEST_310,석고수정
TEST_311,울음
TEST_312,훼손
TEST_313,석고수정
TEST_314,석고수정
TEST_315,석고수정
TEST_316,곰팡이
TEST_317,석고수정
TEST_318,훼손
TEST_319,훼손
TEST_320,면불량
TEST_321,틈새과다
TEST_322,면불량
TEST_323,곰팡이
TEST_324,면불량
TEST_325,석고수정
TEST_326,곰팡이
TEST_327,면불량
TEST_328,석고수정
TEST_329,훼손
TEST_330,곰팡이
TEST_331,면불량
TEST_332,곰팡이
TEST_333,석고수정
TEST_334,석고수정
TEST_335,석고수정
TEST_336,석고수정
TEST_337,꼬임
TEST_338,석고수정
TEST_339,석고수정
TEST_340,석고수정
TEST_341,석고수정
TEST_342,석고수정
TEST_343,울음
TEST_344,면불량
TEST_345,석고수정
TEST_346,곰팡이
TEST_347,석고수정
TEST_348,곰팡이
TEST_349,석고수정
TEST_350,석고수정
TEST_351,석고수정
TEST_352,면불량
TEST_353,곰팡이
TEST_354,곰팡이
TEST_355,훼손
TEST_356,석고수정
TEST_357,석고수정
TEST_358,곰팡이
TEST_359,곰팡이
TEST_360,훼손
TEST_361,석고수정
TEST_362,피스
TEST_363,석고수정
TEST_364,곰팡이
TEST_365,석고수정
TEST_366,석고수정
TEST_367,석고수정
TEST_368,석고수정
TEST_369,울음
TEST_370,울음
TEST_371,면불량
TEST_372,석고수정
TEST_373,석고수정
TEST_374,오염
TEST_375,곰팡이
TEST_376,곰팡이
TEST_377,석고수정
TEST_378,석고수정
TEST_379,석고수정
TEST_380,석고수정
TEST_381,석고수정
TEST_382,석고수정
TEST_383,석고수정
TEST_384,석고수정
TEST_385,가구수정
TEST_386,곰팡이
TEST_387,면불량
TEST_388,석고수정
TEST_389,석고수정
TEST_390,석고수정
TEST_391,석고수정
TEST_392,면불량
TEST_393,곰팡이
TEST_394,면불량
TEST_395,석고수정
TEST_396,석고수정
TEST_397,곰팡이
TEST_398,석고수정
TEST_399,곰팡이
TEST_400,틈새과다
TEST_401,석고수정
TEST_402,석고수정
TEST_403,석고수정
TEST_404,훼손
TEST_405,석고수정
TEST_406,곰팡이
TEST_407,석고수정
TEST_408,석고수정
TEST_409,면불량
TEST_410,곰팡이
TEST_411,석고수정
TEST_412,석고수정
TEST_413,틈새과다
TEST_414,석고수정
TEST_415,곰팡이
TEST_416,석고수정
TEST_417,곰팡이
TEST_418,석고수정
TEST_419,석고수정
TEST_420,석고수정
TEST_421,석고수정
TEST_422,몰딩수정
TEST_423,곰팡이
TEST_424,훼손
TEST_425,훼손
TEST_426,석고수정
TEST_427,석고수정
TEST_428,이음부불량
TEST_429,석고수정
TEST_430,석고수정
TEST_431,석고수정
TEST_432,훼손
TEST_433,곰팡이
TEST_434,울음
TEST_435,몰딩수정
TEST_436,곰팡이
TEST_437,훼손
